value,x,y,z
-223.65105,0.0,1.5,11.0
-223.65030750000003,0.0,1.5,11.5
-223.649565,0.0,1.5,12.0
-223.430515,0.0,1.5,12.5
-223.211465,0.0,1.5,13.0
-223.42320750000002,0.0,1.5,13.5
-223.63495,0.0,1.5,14.0
-223.6309275,0.0,1.5,14.5
-223.62690500000002,0.0,1.5,15.0
-223.6240325,0.0,1.5,15.5
-223.62116,0.0,1.5,16.0
-223.619775,0.0,1.5,16.5
-223.61839,0.0,1.5,17.0
-223.61871,0.0,1.5,17.5
-223.61903,0.0,1.5,18.0
-223.6210775,0.0,1.5,18.5
-223.62312500000002,0.0,1.5,19.0
-194.27007,0.0,2.0,0.0
-204.16387500000002,0.0,2.0,0.5
-214.05768,0.0,2.0,1.0
-217.55812500000002,0.0,2.0,1.5
-221.05857,0.0,2.0,2.0
-222.42909500000002,0.0,2.0,2.5
-223.79962,0.0,2.0,3.0
-224.42817000000002,0.0,2.0,3.5
-225.05672,0.0,2.0,4.0
-225.078105,0.0,2.0,4.5
-225.09949,0.0,2.0,5.0
-224.82175999999998,0.0,2.0,5.5
-224.54403,0.0,2.0,6.0
-224.268625,0.0,2.0,6.5
-223.99322,0.0,2.0,7.0
-223.85889,0.0,2.0,7.5
-223.72456,0.0,2.0,8.0
-223.693305,0.0,2.0,8.5
-223.66205,0.0,2.0,9.0
-223.65800000000002,0.0,2.0,9.5
-223.65395,0.0,2.0,10.0
-223.65212000000002,0.0,2.0,10.5
-223.65029,0.0,2.0,11.0
-223.65189,0.0,2.0,11.5
-223.65349,0.0,2.0,12.0
-223.648445,0.0,2.0,12.5
-223.6434,0.0,2.0,13.0
-223.63861,0.0,2.0,13.5
-223.63382,0.0,2.0,14.0
-223.62992,0.0,2.0,14.5
-223.62602,0.0,2.0,15.0
-223.62328000000002,0.0,2.0,15.5
-223.62054,0.0,2.0,16.0
-223.61923000000002,0.0,2.0,16.5
-223.61792,0.0,2.0,17.0
-223.61828500000001,0.0,2.0,17.5
-223.61865,0.0,2.0,18.0
-223.620745,0.0,2.0,18.5
-223.62284,0.0,2.0,19.0
-167.00056,0.0,2.5,0.0
-188.46975,0.0,2.5,0.5
-209.93894,0.0,2.5,1.0
-215.48333250000002,0.0,2.5,1.5
-221.027725,0.0,2.5,2.0
-222.588005,0.0,2.5,2.5
-224.148285,0.0,2.5,3.0
-224.59536500000002,0.0,2.5,3.5
-225.042445,0.0,2.5,4.0
-224.9767,0.0,2.5,4.5
-224.910955,0.0,2.5,5.0
-224.65563249999997,0.0,2.5,5.5
-224.40031,0.0,2.5,6.0
-224.16607249999998,0.0,2.5,6.5
-223.931835,0.0,2.5,7.0
-223.8232475,0.0,2.5,7.5
-223.71465999999998,0.0,2.5,8.0
-223.689795,0.0,2.5,8.5
-223.66493,0.0,2.5,9.0
-223.66048500000002,0.0,2.5,9.5
-223.65604000000002,0.0,2.5,10.0
-223.65744500000002,0.0,2.5,10.5
-223.65885,0.0,2.5,11.0
-223.656385,0.0,2.5,11.5
-223.65392,0.0,2.5,12.0
-223.6478875,0.0,2.5,12.5
-223.64185500000002,0.0,2.5,13.0
-223.63747999999998,0.0,2.5,13.5
-223.633105,0.0,2.5,14.0
-223.62918249999998,0.0,2.5,14.5
-223.62526000000003,0.0,2.5,15.0
-223.6225875,0.0,2.5,15.5
-223.619915,0.0,2.5,16.0
-223.61866,0.0,2.5,16.5
-223.61740500000002,0.0,2.5,17.0
-223.61782,0.0,2.5,17.5
-223.618235,0.0,2.5,18.0
-223.6203725,0.0,2.5,18.5
-223.62250999999998,0.0,2.5,19.0
-139.73105,0.0,3.0,0.0
-172.775625,0.0,3.0,0.5
-205.8202,0.0,3.0,1.0
-213.40854000000002,0.0,3.0,1.5
-220.99688,0.0,3.0,2.0
-222.746915,0.0,3.0,2.5
-224.49695,0.0,3.0,3.0
-224.76256,0.0,3.0,3.5
-225.02817,0.0,3.0,4.0
-224.875295,0.0,3.0,4.5
-224.72242,0.0,3.0,5.0
-224.489505,0.0,3.0,5.5
-224.25659,0.0,3.0,6.0
-224.06351999999998,0.0,3.0,6.5
-223.87045,0.0,3.0,7.0
-223.78760499999999,0.0,3.0,7.5
-223.70476,0.0,3.0,8.0
-223.686285,0.0,3.0,8.5
-223.66781,0.0,3.0,9.0
-223.66297,0.0,3.0,9.5
-223.65813,0.0,3.0,10.0
